,team1_home,team1_bat,csk,dch,dca,dd,gl,kxip,kt,kkr,mi,pw,rr,rps,rcb,srh,team1_win_percentage,team2_win_percentage,team1_win
231,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.841995503991129,0.5394845421870071,1
232,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.6408583268940578,0.7676591723222937,0
233,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.7510987616718574,0.6601898592185451,1
234,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.6843638877248562,0.7291406374480305,1
235,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.5885604684400809,0.8084531990100555,0
236,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.4845598777351798,0.8747580950692985,0
237,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.5052731195784231,0.8629594860892883,0
238,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0.8652018206350236,0.5014237824134795,0
239,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.7660237798647592,0.6428122343901886,1
240,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.7369584329984259,0.675938065234164,0
241,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.5703425440642038,0.821406952996121,0
242,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.8425938412032223,0.5385495508923938,0
243,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0.8853979028379436,0.46483389898992045,0
244,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.6301624483644956,0.7764633208795279,1
245,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.5783551196102427,0.815785116081816,0
246,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.7088505630590621,0.7053586883641899,0
247,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.7432560052239322,0.669007108107651,1
